Marca,Modelo,Capacidad,Color,Precio (S/.),Tienda
Apple,iPhone 13,128 GB,Azul medianoche,3349,Mercado Libre
Apple,iPhone 13,128 GB,Blanco estelar,3349,Mercado Libre
Apple,iPhone 11,128 GB,Negro,2349,Mercado Libre
Apple,iPhone 14 Pro Max,256 GB,Morado oscuro,6299,Mercado Libre
Apple,iPhone 14 Pro Max,128 GB,Negro espacial,5699,Mercado Libre
Apple,iPhone 13,128 GB,Azul,3349,Mercado Libre
Apple,iPhone 11,128 GB,Blanco,2349,Mercado Libre
Apple,iPhone 14 Pro Max,256 GB,Negro espacial,6299,Mercado Libre
Apple,iPhone 14 Pro,128 GB,Morado oscuro,5299,Mercado Libre
Apple,iPhone 14 Pro Max,128 GB,Color oro,5699,Mercado Libre
Apple,iPhone 14,128 GB,Morado,4299,Mercado Libre
Apple,iPhone 14 Pro,128 GB,Negro espacial,5299,Mercado Libre
Apple,iPhone 12,64 GB,Negro,3499,Mercado Libre
Apple,iPhone 14 Pro Max,128 GB,Color plata,5699,Mercado Libre
Apple,iPhone 14 Pro,128 GB,Color oro,5299,Mercado Libre
Apple,iPhone 14 Pro Max,256 GB,Color plata,6299,Mercado Libre
Apple,iPhone 14 Pro,128 GB,Color plata,5299,Mercado Libre
Apple,iPhone 14 Plus,128 GB,Blanco estelar,4299,Mercado Libre
Apple,iPhone 14 Plus,128 GB,Azul,4299,Mercado Libre
Apple,iPhone 14 Plus,128 GB,(PRODUCT)RED,4299,Mercado Libre
Apple,iPhone 14 Pro,256 GB,Morado oscuro,5899,Mercado Libre
Apple,iPhone 14 Pro,256 GB,Color oro,5899,Mercado Libre
Apple,iPhone 14 Plus,256 GB,Morado,5299,Mercado Libre
Apple,iPhone 14 Plus,256 GB,Blanco estelar,5299,Mercado Libre
Apple,iPhone 14 Plus,256 GB,Medianoche,5299,Mercado Libre
Apple,iPhone 14 Plus,256 GB,Azul,5299,Mercado Libre
Apple,iPhone 14 Plus,256 GB,(PRODUCT)RED,5299,Mercado Libre
Apple,iPhone 12 mini,64 GB,Negro,3619,Mercado Libre
Apple,iPhone 11,64 GB,Blanco,2049,Mercado Libre
Apple,iPhone 11,64 GB,Negro,2049,Mercado Libre
Apple,iPhone 13,128 GB,No especificado,3349,Mercado Libre
Apple,iPhone 11,128 GB,No especificado,2349,Mercado Libre
Apple,iPhone 14 Pro Max,128 GB,No especificado,5699,Mercado Libre
Apple,iPhone 14,128 GB,No especificado,4299,Mercado Libre
Apple,iPhone 14 Pro,128 GB,No especificado,5299,Mercado Libre
Apple,iPhone 14 Plus,128 GB,No especificado,4299,Mercado Libre
Apple,iPhone 12,64 GB,No especificado,3499,Mercado Libre
Apple,iPhone 12 Mini,64 GB,No especificado,3619,Mercado Libre
Apple,iPhone 14 Pro Max,256 GB,No especificado,6299,Mercado Libre
Apple,iPhone 14 Pro,256 GB,No especificado,5899,Mercado Libre
Apple,iPhone 14 Plus,256 GB,No especificado,5299,Mercado Libre
Apple,iPhone 11,64 GB,No especificado,2049,Mercado Libre
Apple,iPhone 11,64 GB,Negro + 20w Usb-c Power Adapter,2259,Mercado Libre
