Marca,Modelo,Capacidad,Color,Precio (S/.),Tienda,Extras
Apple,iPhone 13,128 GB,Azul medianoche,3349,Mercado Libre,-
Apple,iPhone 13,128 GB,Blanco estelar,3349,Mercado Libre,-
Apple,iPhone 11,128 GB,Negro,2149,Mercado Libre,-
Apple,iPhone 14 Pro Max,256 GB,Morado oscuro,6299,Mercado Libre,-
Apple,iPhone 14 Pro Max,128 GB,Negro espacial,5699,Mercado Libre,-
Apple,iPhone 13,128 GB,Azul,3349,Mercado Libre,-
Apple,iPhone 11,128 GB,Blanco,2149,Mercado Libre,-
Apple,iPhone 14 Pro Max,256 GB,Negro espacial,6299,Mercado Libre,-
Apple,iPhone 14 Pro,128 GB,Morado oscuro,5299,Mercado Libre,-
Apple,iPhone 14 Pro Max,128 GB,Color oro,5699,Mercado Libre,-
Apple,iPhone 14,128 GB,Morado,4299,Mercado Libre,-
Apple,iPhone 14 Pro,128 GB,Negro espacial,5299,Mercado Libre,-
Apple,iPhone 12,64 GB,Negro,3099,Mercado Libre,-
Apple,iPhone 14 Pro Max,128 GB,Color plata,5699,Mercado Libre,-
Apple,iPhone 14 Pro,128 GB,Color oro,5299,Mercado Libre,-
Apple,iPhone 14 Pro Max,256 GB,Color plata,6299,Mercado Libre,-
Apple,iPhone 14 Pro,128 GB,Color plata,5299,Mercado Libre,-
Apple,iPhone 14 Plus,128 GB,Blanco estelar,4299,Mercado Libre,-
Apple,iPhone 14 Plus,128 GB,Azul,4299,Mercado Libre,-
Apple,iPhone 14 Plus,128 GB,(PRODUCT)RED,4299,Mercado Libre,-
Apple,iPhone 14 Pro,256 GB,Morado oscuro,5899,Mercado Libre,-
Apple,iPhone 14 Pro,256 GB,Color oro,5899,Mercado Libre,-
Apple,iPhone 14 Plus,256 GB,Morado,5299,Mercado Libre,-
Apple,iPhone 14 Plus,256 GB,Blanco estelar,5299,Mercado Libre,-
Apple,iPhone 14 Plus,256 GB,Medianoche,5299,Mercado Libre,-
Apple,iPhone 14 Plus,256 GB,Azul,5299,Mercado Libre,-
Apple,iPhone 14 Plus,256 GB,(PRODUCT)RED,5299,Mercado Libre,-
Apple,iPhone 12 mini,64 GB,Negro,3619,Mercado Libre,-
Apple,iPhone 11,64 GB,Blanco,1899,Mercado Libre,-
Apple,iPhone 11,64 GB,Negro,1899,Mercado Libre,-
Apple,iPhone 13,128 GB,No especificado,3349,Mercado Libre,-
Apple,iPhone 11,128 GB,No especificado,2149,Mercado Libre,-
